City Name,Zone Name,Ward name,Ward No ,Open space name/no,Open space heirarchy/ typology (refer to URDPFI),Open space area (in sqkm),Number of Tree (ward/public space street)
Lucknow,2,LABOUR COLONY,NA,24/7 Labor Colony,NA,9374,NA
Lucknow,2,LABOUR COLONY,NA,Park in front of C5113,NA,2323,NA
Lucknow,3,Shankerpurawa III,NA,In front of Vikas Nagar M No11/412,NA,1574,NA
Lucknow,3,Shankerpurawa III,NA,11/297 in front and 11/428,NA,17545,NA
Lucknow,3,Shankerpurawa III,NA,In front of 11/268,NA,174636,NA
Lucknow,3,Shankerpurawa III,NA,Before 11/109,NA,9042,NA
Lucknow,3,Shankerpurawa III,NA,11/123 in front,NA,1568,NA
Lucknow,3,Shankerpurawa III,NA,Park 11/100,NA,1551,NA
Lucknow,3,Shankerpurawa III,NA,11/428 in front,NA,996,NA
Lucknow,3,Shankerpurawa III,NA,In front of 11/145,NA,1869,NA
Lucknow,3,Shankerpurawa III,NA,Before 12/105,NA,1344,NA
Lucknow,3,Shankerpurawa III,NA,In front of 12/09,NA,13664,NA
Lucknow,3,Shankerpurawa III,NA,13/66 in front,NA,150713,NA
Lucknow,3,Shankerpurawa III,NA,In front of 14/56,NA,144375,NA
Lucknow,3,Shankerpurawa III,NA,14/191 in front,NA,1075,NA
Lucknow,3,Shankerpurawa III,NA,14/325 in front,NA,524,NA
Lucknow,3,Shankerpurawa III,NA,Park in front of M / s 8/360 and 8/363,NA,588,NA
Lucknow,3,Shankerpurawa III,NA,Park in front of M / s 8/322 and 8/331,NA,574,NA
Lucknow,3,Shankerpurawa III,NA,Park in front of M / s 8/127 and 5/144,NA,1500,NA
Lucknow,3,Shankerpurawa III,NA,Park No 9/42 and Park 9/34,NA,198,NA
Lucknow,3,Shankerpurawa III,NA,In front of 11/373,NA,61305,NA
Lucknow,3,Shankerpurawa III,NA,13/54 in front,NA,59454,NA
Lucknow,3,Shankerpurawa III,NA,14/10 in front,NA,1250,NA
Lucknow,3,Shankerpurawa III,NA,In front of 14/309,NA,22204,NA
Lucknow,3,Shankerpurawa III,NA,In front of 14/388,NA,1200,NA
Lucknow,3,Shankerpurawa III,NA,14/512 in front,NA,15336,NA
Lucknow,3,Shankerpurawa III,NA,Park no 7/82 and 7/83 park,NA,876,NA
Lucknow,3,Shankerpurawa III,NA,Park No 7/33, and Park 7/34,NA,889,NA
Lucknow,3,Shankerpurawa III,NA,Park No 8/208 and 8/212 Park,NA,382,NA
Lucknow,3,Shankerpurawa III,NA,Park no 8/703 and 8/711 park,NA,442,NA
Lucknow,3,Shankerpurawa III,NA,Park No 8/722 and 8/730 Park,NA,450,NA
Lucknow,3,Shankerpurawa III,NA,Park in front of M / s 8/642 and 8/646,NA,128,NA
Lucknow,3,Shankerpurawa III,NA,Park No 9/09 Ward Park in front,NA,1440,NA
Lucknow,3,Begum hazratmahalBajrangbali,NA,Park in front of number 42 and 45,NA,861,NA
Lucknow,3,Begum hazratmahalBajrangbali,NA,Park No 878 & 988 Parks,NA,1050,NA
Lucknow,3,Begum hazratmahalBajrangbali,NA,Park in front of number 328 and 333,NA,421,NA
Lucknow,3,Begum hazratmahalBajrangbali,NA,Metropolitan of Vishnupri Park,NA,1641,NA
Lucknow,3,Begum hazratmahalBajrangbali,NA,Building No 401 and 397 park in front,NA,975,NA
Lucknow,3,Begum hazratmahalBajrangbali,NA,Park in front of the P07 D30,NA,73355,NA
Lucknow,3,Begum hazratmahalBajrangbali,NA,Dhandhiya Bazar route near P9 LDA Market Purania Chairah,NA,4725,NA
Lucknow,3,Begum hazratmahalBajrangbali,NA,P5 LDA Park near market (kudaghar),NA,124435,NA
Lucknow,3,Begum hazratmahalBajrangbali,NA,P02 e  Park in front of the Mahadev Temple in front of E4/10,NA,3025,NA
Lucknow,3,Begum hazratmahalBajrangbali,NA,Ram Niwas Park in front of P4 MnB1/67,NA,17325,NA
Lucknow,3,Begum hazratmahalBajrangbali,NA,Knowledge Bihar Park in front of P6 MNC45,NA,89751,NA
Lucknow,3,Begum hazratmahalBajrangbali,NA,Market Park of P8 Bajrangbali Ward Main Road Chair Road,NA,362007,NA
Lucknow,3,Begum hazratmahalBajrangbali,NA,Park in front of Building NoB3C64Charan Bhat in P04 Bajrangbali Ward SectorH,NA,20672,NA
Lucknow,3,Begum hazratmahalBajrangbali,NA,P5 Park beside Aliganj Mantesari School,NA,3770,NA
Lucknow,3,Begum hazratmahalBajrangbali,NA,Park in front of P3L4/74 and L5/55,NA,1071,NA
Lucknow,3,Begum hazratmahalBajrangbali,NA,P01 park in front of Raju Bajpai,NA,1185,NA
Lucknow,3,Begum hazratmahalBajrangbali,NA,Tikona Park in front of P02 SectorL5/47,NA,696,NA
Lucknow,3,Begum hazratmahalBajrangbali,NA,VigyanPuri Park,NA,5555,NA
Lucknow,3,Begum hazratmahalBajrangbali,NA,Park no 168 and 169 park,NA,322,NA
Lucknow,3,Begum hazratmahalBajrangbali,NA,Park No 811 & 816 Park,NA,468,NA
Lucknow,3,Begum hazratmahalBajrangbali,NA,Park no 728 and 730 park,NA,749,NA
Lucknow,3,Begum hazratmahalBajrangbali,NA,Park No 574 and 580 park in front,NA,368,NA
Lucknow,3,Begum hazratmahalBajrangbali,NA,Park in front of number 1 201 and 200,NA,420,NA
Lucknow,3,Begum hazratmahalBajrangbali,NA,Park no 178 and 183 park,NA,218,NA
Lucknow,3,Begum hazratmahalBajrangbali,NA,Park no 178 and 183 park,NA,293,NA
Lucknow,3,Begum hazratmahalBajrangbali,NA,Building number402 and park ahead of 411,NA,1140,NA
Lucknow,3,Begum hazratmahalBajrangbali,NA,Building No478 & 454 park in front,NA,137,NA
Lucknow,3,Begum hazratmahalBajrangbali,NA,P010 Building NoParks in front of C15 and B1/72,NA,948,NA
Lucknow,3,Begum hazratmahalBajrangbali,NA,In front of p01 e 3 / 153,NA,14136,NA
Lucknow,3,Begum hazratmahalBajrangbali,NA,Park ahead of SectorL5L / 80,NA,78506,NA
Lucknow,3,Begum hazratmahalBajrangbali,NA,P06 Park near the Rajarani's house in Mirzapur village,NA,158125,NA
Lucknow,3,Begum hazratmahalBajrangbali,NA,Park in front of P07LIG6/229,NA,197812,NA
Lucknow,3,Begum hazratmahalBajrangbali,NA,Park No 0803 and 779 park,NA,249,NA
Lucknow,3,Begum hazratmahalBajrangbali,NA,Park in front of number zero 561 and 562,NA,368,NA
Lucknow,3,Begum hazratmahalBajrangbali,NA,Park in front of number 423 and 425,NA,128,NA
Lucknow,3,Begum hazratmahalBajrangbali,NA,Park No 455 & 425 Park,NA,420,NA
Lucknow,3,Begum hazratmahalBajrangbali,NA,H metropolis park,NA,5074,NA
Lucknow,3,Mahanagar,NA,Gol Market Park Road (opposite Tampo stand),NA,400,NA
Lucknow,3,Mahanagar,NA,Subhash park,NA,2627,NA
Lucknow,3,Mahanagar,NA,Shri Narayan Dutt Tiwari Tikionia Park,NA,26125,NA
Lucknow,3,Mahanagar,NA,Rain basera park,NA,1209,NA
Lucknow,3,Mahanagar,NA,Gol park,NA,4307,NA
Lucknow,3,Mahanagar,NA,Deendayal Upadhyaya Park, behind Mahanagar Kotwali,NA,404975,NA
Lucknow,3,Mahanagar,NA,B4 Mahanagar Jhalkari Bai,NA,4142,NA
Lucknow,3,Mahanagar,NA,Temple Park Small Park Mahanagar,NA,688,NA
Lucknow,3,Mankameshwar,NA,Ram Charan Park DaliGanj,NA,936,NA
Lucknow,3,Mankameshwar,NA,Subhash park daliganj,NA,259,NA
Lucknow,3,Triveni nagar,NA,Tulsi park,NA,8225,NA
Lucknow,3,Triveni nagar,NA,Ektapuram Park,NA,494,NA
Lucknow,3,Triveni nagar,NA,Secretariat colony park,NA,57375,NA
Lucknow,3,Triveni nagar,NA,Ekta Park,NA,560,NA
Lucknow,3,Triveni nagar,NA,Water tank park,NA,990,NA
Lucknow,3,Triveni nagar,NA,Vigyan vihar Park (park with tubewell),NA,4185,NA
Lucknow,3,Triveni nagar,NA,Vigyan vihar park,NA,666,NA
Lucknow,3,Triveni nagar,NA,Adarshapuram Park,NA,4185,NA
Lucknow,3,Triveni nagar,NA,Shivpuram Park,NA,496,NA
Lucknow,3,Triveni nagar,NA,Weather Bag Park,NA,1798,NA
Lucknow,3,Triveni nagar,NA,Brahmnagar park,NA,900,NA
Lucknow,3,Triveni nagar,NA,Narendra Mohan Murthy Park,NA,28175,NA
Lucknow,3,Triveni nagar,NA,Sanktmokchan Park,NA,40425,NA
Lucknow,3,Triveni nagar,NA,Ashok garden,NA,330,NA
Lucknow,3,Triveni nagar,NA,Durga Temple Park (Community Center),NA,560,NA
Lucknow,3,Triveni nagar,NA,Aloknagar park,NA,252,NA
Lucknow,3,Triveni nagar,NA,Shreepuram Park (Nav Gaji Park),NA,59675,NA
Lucknow,3,Triveni nagar,NA,P3, tubewell park,NA,600,NA
Lucknow,3,Vivekanandpuri,NA,KPark Mahanagar,NA,4500,NA
Lucknow,3,Vivekanandpuri,NA,Temple Park ePark,NA,8025,NA
Lucknow,3,Vivekanandpuri,NA,SectorC in front of Vaidyavali Park C728,NA,2379,NA
Lucknow,3,Vivekanandpuri,NA,DBlock Park,NA,4200,NA
Lucknow,3,Vivekanandpuri,NA,Sector2 Park (K2),NA,560625,NA
Lucknow,3,Vivekanandpuri,NA,Nayyar Park Mahanagar,NA,4214,NA
Lucknow,3,Vivekanandpuri,NA,Tankee Park J Park,NA,6890,NA
Lucknow,3,Vivekanandpuri,NA,L park Mahanagar,NA,6800,NA
Lucknow,3,Vivekanandpuri,NA,Vivekanand Park,NA,900652,NA
Lucknow,3,Vivekanandpuri,NA,7 bungalow park,NA,4350,NA
Lucknow,3,Vivekanandpuri,NA,Sardar Patel Park,NA,4500,NA
Lucknow,3,Vivekanandpuri,NA,Tikona Park Khan Park,NA,2070,NA
Lucknow,3,Bhartendu Harishchandra,NA,P04 building number  in front of e  / 389,NA,149033,NA
Lucknow,3,Bhartendu Harishchandra,NA,Park in front of e  / 726 behind the music school,NA,125775,NA
Lucknow,3,Bhartendu Harishchandra,NA,Park in front of Shivpuran Main No N0A25,NA,204405,NA
Lucknow,3,Bhartendu Harishchandra,NA,P02 e  / 626 park in front of the music school,NA,16032,NA
Lucknow,3,Bhartendu Harishchandra,NA,Park near Kothari Bundu hnoA18,NA,221946,NA
Lucknow,3,Bhartendu Harishchandra,NA,Sector in Bharatendu Harishchandra Ward Parks of Bal nikunj School,NA,1014,NA
Lucknow,3,Bhartendu Harishchandra,NA,Sector in Bharatendu Harishchandra Ward Park ahead of Ram Ram Bank crossing,NA,1980,NA
Lucknow,3,Bhartendu Harishchandra,NA,Park behind the P1 Model Shop,NA,720,NA
Lucknow,3,Bhartendu Harishchandra,NA,Park in front of the P14 NV Ed 239, 240,NA,7200,NA
Lucknow,3,Bhartendu Harishchandra,NA,Park in front of the residence of PH Shridhar,NA,1098,NA
Lucknow,3,Bhartendu Harishchandra,NA,In front of p03 e 3 / 992,NA,149658,NA
Lucknow,3,Bhartendu Harishchandra,NA,Near p0ll dd 0 stadium,NA,1410,NA
Lucknow,3,Bhartendu Harishchandra,NA,P07 park near the house of Mr Ramesh Babu,NA,9348,NA
Lucknow,3,Bhartendu Harishchandra,NA,Park Behind the P03 Sales Tax Colony,NA,160594,NA
Lucknow,3,Bhartendu Harishchandra,NA,Sector in Bharatendu Harishchandra Ward In the park near HNoES1/144 house,NA,1400,NA
Lucknow,3,Bhartendu Harishchandra,NA,Sector in Bharatendu Harishchandra Ward Park near M No1 v 37 near Wisdom Academy near the knowledge center,NA,1680,NA
Lucknow,3,Bhartendu Harishchandra,NA,Sector in Bharatendu Harishchandra Ward I Park behind 1 v 301 and in front of a water tank,NA,435,NA
Lucknow,3,Bhartendu Harishchandra,NA,Bharatendu Harishchandra Ward Sector In the park near the water tank in front of M No1 v 307,NA,810,NA
Lucknow,3,Bhartendu Harishchandra,NA,Sector in Bharatendu Harishchandra Ward Kathgodam Furniture Behind Mangal Pandey Park and Park near DP 31,NA,1900,NA
Lucknow,3,Bhartendu Harishchandra,NA,Bharatendu Harishchandra Ward Sector D in Sanjeev Verma has a number of 814 AM 940 parks,NA,450,NA
Lucknow,3,Bhartendu Harishchandra,NA,Park in front of number 2 mm38,NA,570,NA
Lucknow,3,Bhartendu Harishchandra,NA,Park in front of P3, Md Ed 936,NA,495,NA
Lucknow,3,Bhartendu Harishchandra,NA,Park in front of P8 Md ED 128,NA,300,NA
Lucknow,3,Bhartendu Harishchandra,NA,Park in front of P9TM ED 148,NA,300,NA
Lucknow,3,Bhartendu Harishchandra,NA,Park in front of P10 NDE ED 150,NA,196,NA
Lucknow,3,Bhartendu Harishchandra,NA,P11 NDE ED152,NA,196,NA
Lucknow,3,Bhartendu Harishchandra,NA,Park in front of P1M0 ED 327,NA,210,NA
Lucknow,3,Bhartendu Harishchandra,NA,Park in front of P2M ED ED 328,NA,210,NA
Lucknow,3,Bhartendu Harishchandra,NA,Park in front of P3 Nos Ed 518,NA,168,NA
Lucknow,3,Bhartendu Harishchandra,NA,Park in front of P4 Nos Ed 419,NA,168,NA
Lucknow,3,Bhartendu Harishchandra,NA,Park in front of P5 Nos Ed 448,NA,168,NA
Lucknow,3,Bhartendu Harishchandra,NA,Park in front of P6 Mn ED EDGE 396,NA,252,NA
Lucknow,3,Bhartendu Harishchandra,NA,Park in front of P 7,NA,252,NA
Lucknow,3,DaliganjNiralanagar,NA,Nursery Park Niralanagar (Munni Devi Balmiki Park),NA,9959,NA
Lucknow,3,DaliganjNiralanagar,NA,Shastri Park,NA,8413,NA
Lucknow,3,DaliganjNiralanagar,NA,B5 cool park,NA,3355,NA
Lucknow,3,DaliganjNiralanagar,NA,Green field park,NA,1365,NA
Lucknow,3,DaliganjNiralanagar,NA,Gokaran Park,NA,2450,NA
Lucknow,3,DaliganjNiralanagar,NA,Nirala Nagar in front of Tikona Park Post Office,NA,8337,NA
Lucknow,3,DaliganjNiralanagar,NA,CSRI Park,NA,4800,NA
Lucknow,3,DaliganjNiralanagar,NA,Rani Lakshmi Bai Park,NA,45375,NA
Lucknow,3,DaliganjNiralanagar,NA,Khanna Mill's Park,NA,6125,NA
Lucknow,3,DaliganjNiralanagar,NA,Tikona Park,NA,132,NA
Lucknow,3,DaliganjNiralanagar,NA,Khanna Mill's Park,NA,1000,NA
Lucknow,3,DaliganjNiralanagar,NA,Harijan Basti Park (Red Colony),NA,2782,NA
Lucknow,3,DaliganjNiralanagar,NA,Lalu Sharma Park,NA,4628,NA
Lucknow,3,DaliganjNiralanagar,NA,Patel niralanagar,NA,5265,NA
Lucknow,3,DaliganjNiralanagar,NA,Harijan Basti small park inside Nala Nagar,NA,900,NA
Lucknow,3,DaliganjNiralanagar,NA,Ramlila Park Babujanj,NA,3107,NA
Lucknow,3,DaliganjNiralanagar,NA,Park near accessible toilets,NA,20025,NA
Lucknow,3,DaliganjNiralanagar,NA,Tikona Park,NA,1368,NA
Lucknow,3,DaliganjNiralanagar,NA,Rana Pratap Park,NA,650,NA
Lucknow,3,DaliganjNiralanagar,NA,Park adjacent to police station,NA,200,NA
Lucknow,3,DaliganjNiralanagar,NA,Daliganj (aloopi) daliganj,NA,108,NA
Lucknow,3,DaliganjNiralanagar,NA,Shankar No Road,NA,859,NA
Lucknow,3,Jaishanker prasad,NA,Kamayani Park P2,NA,3960,NA
Lucknow,3,Jaishanker prasad,NA,Ram Manas Park P6,NA,2450,NA
Lucknow,3,Jaishanker prasad,NA,Building numberpark in front of D92,NA,1100,NA
Lucknow,3,Jaishanker prasad,NA,Park in front of P2E5/60,NA,1800,NA
Lucknow,3,Jaishanker prasad,NA,Park in front of NPC3,NA,1200,NA
Lucknow,3,Jaishanker prasad,NA,P2 Nehru Wal Vatika Back,NA,5400,NA
Lucknow,3,Jaishanker prasad,NA,park P3 Bal Mahila Hospital ,NA,2700,NA
Lucknow,3,Jaishanker prasad,NA,Park in front of P5 bn MM166,NA,1050,NA
Lucknow,3,Jaishanker prasad,NA,P3 mn park near ms 48,NA,3325,NA
Lucknow,3,Jaishanker prasad,NA,P1D0S Park,NA,3000,NA
Lucknow,3,Jaishanker prasad,NA,Park P2 Park in front of the No C27,NA,962,NA
Lucknow,3,Jaishanker prasad,NA,P5 Pikaria Park,NA,760,NA
Lucknow,3,Jaishanker prasad,NA,P3 near the residence of Maurya Ji,NA,1590,NA
Lucknow,3,Jaishanker prasad,NA,P4 Temple Park,NA,1080,NA
Lucknow,3,Jaishanker prasad,NA,P1 Primary School Park,NA,608,NA
Lucknow,3,Jaishanker prasad,NA,Park in front of P5SB18,NA,1040,NA
Lucknow,3,Jankipuram II,NA,Park in front of GPP Gupta with 44 no 60 in Jankipuram II,NA,4624,NA
Lucknow,3,Jankipuram II,NA,Park in the Jankipuram Second Sector, near the C/430, C/414, C/408,NA,2002,NA
Lucknow,3,Jankipuram II,NA,Janki Bhatika Pak in Jankipuram Sector II,NA,8700,NA
Lucknow,3,Jankipuram II,NA,Park near C/183 in Jankipuram Sector II,NA,1344,NA
Lucknow,3,Jankipuram II,NA,Jankiipuram second sector jagrita park park near road no C/499 , C/471,,NA,4200,NA
Lucknow,3,Jankipuram II,NA,Park in front of LMG/226  in Jankipuram Sector II, in front of L K Patel,NA,1200,NA
Lucknow,3,Jankipuram II,NA,Park ahead of M / s 52 ahead of Chhayyapur Chowrah in Jankipuram II sector,NA,1392,NA
Lucknow,3,Jankipuram II,NA,Junkipuram II sector 22, and park in front of the temple,NA,240,NA
Lucknow,3,Jankipuram II,NA,Park in the second sector of Jankipuram to rajkumar Motors near 270 and 283,NA,1536,NA
Lucknow,3,Jankipuram II,NA,Jankipuram Park II near Sector 83 in the Sector,NA,2500,NA
Lucknow,3,Jankipuram II,NA,In the Jankiipuram II sector, the park is located near LIG/99 and LIG/103,NA,1900,NA
Lucknow,3,Jankipuram II,NA,Jankipuramam II Sector G park B/283 Ram Villa and B/240,NA,3072,NA
Lucknow,3,Jankipuram II,NA,Park in the Junkipuram II Sector Ground No B/86, B/98,NA,4080,NA
Lucknow,3,Jankipuram I,NA,Park in front of HNo ES2/431,NA,1600,NA
Lucknow,3,Jankipuram I,NA,Tikona Park in front of Gokul Suite,NA,5400,NA
Lucknow,3,Jankipuram I,NA,Park in front of B2/96,NA,4128,NA
Lucknow,3,Jankipuram I,NA,Park in front of B2/146,NA,5143,NA
Lucknow,3,Jankipuram I,NA,Park in front of B2/311,NA,945,NA
Lucknow,3,Jankipuram I,NA,Sankalp vatika,NA,2244,NA
Lucknow,3,Jankipuram I,NA,Durga Puja Park,NA,5400,NA
Lucknow,3,Jankipuram I,NA,Park in front of D1 / 315,NA,4225,NA
Lucknow,3,Jankipuram I,NA,Park in front of MS2/800,NA,3300,NA
Lucknow,3,Jankipuram I,NA,Park in front of ES2/95,NA,420,NA
Lucknow,3,Jankipuram I,NA,Park in front of ES2 / 6667,NA,1260,NA
Lucknow,3,Jankipuram I,NA,Kalyan Park,NA,4624,NA
Lucknow,3,Jankipuram I,NA,Ashok Park,NA,2585,NA
Lucknow,3,Jankipuram I,NA,Park in front of Bharat SanHD1/60,NA,1034,NA
Lucknow,3,Jankipuram I,NA,Park in front of BS275,NA,540,NA
Lucknow,3,Jankipuram I,NA,Building numberpark ahead of HD 105,NA,2750,NA
Lucknow,3,Jankipuram I,NA,Park in front of Mr S Tiwari,NA,2400,NA
Lucknow,3,Jankipuram I,NA,Park beside B1/368,NA,9072,NA
Lucknow,3,Jankipuram I,NA,Park near MIGB9 and B15,NA,1190,NA
Lucknow,3,Jankipuram I,NA,Park in front of C1 / 270,NA,2925,NA
Lucknow,3,Jankipuram I,NA,Park in front of Bharat SanctM2/ 142,NA,1782,NA
Lucknow,3,Jankipuram I,NA,Park in front of SanctuaryM 2,NA,2640,NA
Lucknow,3,Jankipuram I,NA,Park in front of Bhatti SankEWS231,NA,860,NA
Lucknow,3,Jankipuram I,NA,Park ahead of MIG1/29,NA,4915,NA
Lucknow,3,Jankipuram I,NA,Park in front of Bhatta SankeWS175,NA,600,NA
Lucknow,3,Jankipuram I,NA,Park in front of Bharat SanES02 / 176,NA,50414,NA
Lucknow,3,Ayodhyadas,NA,Shiva Nagar Park,NA,2942,NA
Lucknow,3,Aliganj,NA,PLLA Park park near churrah,NA,2292,NA
Lucknow,3,Aliganj,NA,Park in front of p02 e 3 / e527,NA,134448,NA
Lucknow,3,Aliganj,NA,P06 C127 near Gupteeshwar Temple,NA,106375,NA
Lucknow,3,Aliganj,NA,EWS14 in front of P07 C19RC Gupta,NA,15345,NA
Lucknow,3,Aliganj,NA,Park E 3 / 227 in front of P3 Arya Samaj Temple,NA,32447,NA
Lucknow,3,Aliganj,NA,In front of p01 2/80,NA,19352,NA
Lucknow,3,Aliganj,NA,Park in front of the NB1/66,NA,18145,NA
Lucknow,3,Aliganj,NA,In front of P1 C31,NA,247399,NA
Lucknow,3,Aliganj,NA,P2Chandrashekhar Azad Park,NA,900,NA
Lucknow,3,Aliganj,NA,P11Anupam Park,NA,132258,NA
Lucknow,3,Aliganj,NA,P10Bhuyian Devi Park,NA,248839,NA
Lucknow,3,Aliganj,NA,P9Unity Park,NA,385588,NA
Lucknow,3,Aliganj,NA,P4D N Shah Shah Park,NA,150441,NA
Lucknow,3,Aliganj,NA,P6Indra Park,NA,546892,NA
Lucknow,3,Aliganj,NA,P2Basant Park,NA,109436,NA
Lucknow,3,Aliganj,NA,P3Milan Park,NA,349128,NA
Lucknow,3,Aliganj,NA,P4Park near Firoz Ghandi School,NA,86683,NA
Lucknow,3,Aliganj,NA,Park 01197 in front of Anandeshwar Temple,NA,66185,NA
Lucknow,3,Aliganj,NA,Subhash park,NA,112931,NA
Lucknow,3,Aliganj,NA,P9Park in front of secretariat colony MIG23,NA,253935,NA
Lucknow,3,Aliganj,NA,P8 Park in front of MIG27 behind Murden School,NA,78845,NA
Lucknow,3,Aliganj,NA,Park in front of P6HIG62,NA,204405,NA
Lucknow,3,Aliganj,NA,P1C37 Park in front of Mr MP Tripathi,NA,197706,NA
Lucknow,3,Aliganj,NA,Park in front of P7HIG building number58,NA,72675,NA
Lucknow,3,Aliganj,NA,Park in front of P5HIG103,NA,4248,NA
Lucknow,3,Aliganj,NA,Park in front of the house of MP Virendra Bhatia,NA,12936,NA
Lucknow,3,Aliganj,NA,Nehru Park,NA,4500,NA
Lucknow,3,Aliganj,NA,Park in front of Aryan restaurant,NA,19767,NA
Lucknow,3,Aliganj,NA,Park in front of Bharat Sanctuary 040,NA,52152,NA
Lucknow,3,Aliganj,NA,P1 LI Park in front of GL 2/8,NA,36769,NA
Lucknow,3,Aliganj,NA,P5 Parks opposite MIG49, behind Zone 3 office,NA,251736,NA
Lucknow,3,Aliganj,NA,Subhash park,NA,193297,NA
Lucknow,3,Aliganj,NA,Park in front of B1/71,NA,158313,NA
Lucknow,3,Aliganj,NA,Little park,NA,51655,NA
Lucknow,3,Aliganj,NA,Water institution park,NA,7885,NA
Lucknow,3,Aliganj,NA,Basant Bihar Park,NA,1340,NA
Lucknow,3,Aliganj,NA,P2building numberin front of C69 and Ambi41,NA,141075,NA
Lucknow,3,Aliganj,NA,Park in front of Shri Raja Ram IS,NA,2923,NA
Lucknow,3,Aliganj,NA,Tikona Park,NA,6516,NA
Lucknow,3,Lohianagar,NA,Park in front of Bhopal No 1/292, 1/293,NA,2771,NA
Lucknow,3,Lohianagar,NA,Park in front of Bharat No 1 1/157, 1/165,NA,1178,NA
Lucknow,3,Lohianagar,NA,Park in front of Bharat No 1 1/45, 1/66,NA,1148,NA
Lucknow,3,Lohianagar,NA,Park in front of Bharat No 1 1/75, 1/776,NA,2021,NA
Lucknow,3,Lohianagar,NA,Park in front of Bharat No 1/566, 1/567,NA,698,NA
Lucknow,3,Lohianagar,NA,Park in front of Bharat No 1/535, 1/536,NA,708,NA
Lucknow,3,Lohianagar,NA,Park in front of Bharat No 1/617, 1/618,NA,1457,NA
Lucknow,3,Lohianagar,NA,Park in front of Bharat No 2/134, 2/135,NA,2160,NA
Lucknow,3,Lohianagar,NA,Park No 2/54, Park 2/55,NA,1763,NA
Lucknow,3,Lohianagar,NA,Park No 2/187, Park 2/188,NA,3588,NA
Lucknow,3,Lohianagar,NA,Park 2/517, 2/518 in front of Bharat No 2/658, 2/659,NA,2852,NA
Lucknow,3,Lohianagar,NA,Park in front of Bharat No 3/44, 2/45,NA,2184,NA
Lucknow,3,Lohianagar,NA,Park in front of BS No 3/157, 3/158,NA,2664,NA
Lucknow,3,Lohianagar,NA,Park in front of Bhoomi 3/467, 3/468,NA,528,NA
Lucknow,3,Lohianagar,NA,Park in front of Bharat No 4/476, 4/477,NA,1440,NA
Lucknow,3,Lohianagar,NA,Park in front of Bharat No 4/507, 4/506,NA,2346,NA
Lucknow,3,Lohianagar,NA,Park No 4/1022, Park 4/1033,NA,1334,NA
Lucknow,3,Lohianagar,NA,Park in front of Bharat No 4/134, 4/135,NA,528,NA
Lucknow,3,Lohianagar,NA,Park in front of Bharat No 4/153, 4/154,NA,760,NA
Lucknow,3,Lohianagar,NA,Park in front of Bhuj No 4/276, 4/277,NA,320,NA
Lucknow,3,Lohianagar,NA,Park in front of Bharat No 4/672, 4/673,NA,352,NA
Lucknow,3,Lohianagar,NA,Park No 4/700, Park 4/701,NA,352,NA
Lucknow,3,Lohianagar,NA,Park in front of Bharat No 4/794, 4/795,NA,288,NA
Lucknow,3,Lohianagar,NA,Park in front of Bharat No 4/870, 4/871,NA,352,NA
Lucknow,3,Lohianagar,NA,Park No 5/26, Park 5/32,NA,1794,NA
Lucknow,3,Lohianagar,NA,Park in front of Bhopal No 5/108, 5/112,NA,1500,NA
Lucknow,3,Lohianagar,NA,Park in front of Bharat No 5/482, 5/485,NA,1500,NA
Lucknow,3,Lohianagar,NA,Park in front of Bhopal No 5/540, 5/553,NA,864,NA
Lucknow,3,Lohianagar,NA,Park No 5/680, Park 5/685,NA,600,NA
Lucknow,3,Lohianagar,NA,Park in front of Bharat No 5/798, 5/802,NA,480,NA
Lucknow,3,Lohianagar,NA,Park in front of Bhuj No 5/232, 5/240,NA,360,NA
Lucknow,3,Lohianagar,NA,Park in front of Bharat No 5/365, 5/371,NA,480,NA
Lucknow,3,Lohianagar,NA,Park No 6/2016, Park 6/205,NA,1200,NA
Lucknow,3,Lohianagar,NA,Park No 6/347, park 6/065,NA,296,NA
Lucknow,3,Lohianagar,NA,Park No 6/784, Park 6/794,NA,550,NA
Lucknow,3,Lohianagar,NA,Park in front of Bharat No 1/440, 1/445,NA,618,NA
Lucknow,3,Lohianagar,NA,Park in front of Bharat No 1/371, 1/372,NA,396,NA
Lucknow,3,Lohianagar,NA,Park in front of Bharat No 1/640, 1/641,NA,540,NA
Lucknow,3,Lohianagar,NA,Park No 2/4, Park 2/5,NA,1260,NA
Lucknow,3,Lohianagar,NA,Park in front of Bharat No 3/436,NA,456,NA
Lucknow,3,Lohianagar,NA,Park No 3/724, Park 3/725,NA,480,NA
Lucknow,3,Lohianagar,NA,Park in front of Bhoomi No 3/718, 3/719,NA,1176,NA
Lucknow,3,Lohianagar,NA,Park in front of Bhoomi 3/421, 3/492,NA,748,NA
Lucknow,3,Lohianagar,NA,Park in front of Bharat No 3/323, 3/324,NA,1232,NA
Lucknow,3,Lohianagar,NA,Park in front of BS No 3/270, 3/271,NA,572,NA
Lucknow,3,Lohianagar,NA,Park in front of Bhoomi No 3/262, 3/263,NA,546,NA
Lucknow,3,Lohianagar,NA,Park in front of Bharti No 3/298, 3/299,NA,400,NA
Lucknow,3,Lohianagar,NA,Park in front of Bhoomi 3/403, 3/402,NA,480,NA
Lucknow,3,Lohianagar,NA,Park in front of Bhoomi No 3/374, 3/375,NA,816,NA
