"id","year","state_name","state_code","sector","quantity"
492,"2012","Chhattisgarh","22","Steel (Boilers)",0.42
493,"2009","Chhattisgarh","22","Sponge Iron",2.03
494,"2007","Chhattisgarh","22","Sponge Iron",2.17
495,"2007","Chhattisgarh","22","Steel (Boilers)",0.49
496,"2009","Chhattisgarh","22","Metallurgical Use- Direct Feed",0.11
497,"2010","Chhattisgarh","22","Cement",1.43
498,"2008","Chhattisgarh","22","Other Basic-Metal (Aluminium Etc)",0.12
499,"2008","Chhattisgarh","22","Power (Captive)",2.07
500,"2021","Chhattisgarh","22","Metallurgical Use- Direct Feed",0.05
501,"2006","Chhattisgarh","22","Metallurgical Use- Cokeries",1.28
502,"2021","Chhattisgarh","22","Sponge Iron",5.19
503,"2014","Chhattisgarh","22","Power (Captive)",1.64
504,"2016","Chhattisgarh","22","Power (Utility)",48.66
505,"2015","Chhattisgarh","22","Colliery Own - Consumption",0.0
506,"2011","Chhattisgarh","22","Colliery Staff",0.01
507,"2006","Chhattisgarh","22","Power (Utility)",19.55
508,"2014","Delhi","7","Power (Utility)",0.98
509,"2010","Delhi","7","Power (Utility)",2.0
510,"2011","Delhi","7","Power (Utility)",1.6
511,"2010","Delhi","7","Other",0.1
512,"2014","Delhi","7","Power (Utility)",0.02
513,"2015","Delhi","7","Cement",0.03
514,"2009","Delhi","7","Other",0.02
515,"2007","Delhi","7","Power (Utility)",0.48
516,"2019","Delhi","7","Power (Utility)",0.33
517,"2017","Delhi","7","Power (Utility)",1.14
518,"2016","Delhi","7","Other",0.04
519,"2011","Delhi","7","Power (Utility)",1.34
520,"2007","Delhi","7","Other",0.0
521,"2017","Delhi","7","Power (Captive)",0.0
522,"2019","Delhi","7","Other",0.0
523,"2015","Delhi","7","Power (Utility)",0.0
524,"2008","Delhi","7","Power (Utility)",0.26
525,"2016","Delhi","7","Pulp and Paper",0.03
526,"2012","Delhi","7","Power (Utility)",3.56
527,"2011","Delhi","7","Other",0.13
528,"2013","Delhi","7","Power (Utility)",3.66
529,"2013","Delhi","7","Power (Captive)",0.07
530,"2008","Delhi","7","Power (Utility)",2.25
531,"2010","Delhi","7","Power (Utility)",4.31
532,"2015","Delhi","7","Power (Utility)",4.24
533,"2006","Delhi","7","Power (Utility)",6.86
534,"2014","Delhi","7","Power (Utility)",4.28
535,"2018","Delhi","7","Power (Utility)",0.21
536,"2017","Delhi","7","Power (Utility)",0.01
537,"2009","Delhi","7","Power (Utility)",3.17
538,"2013","Delhi","7","Other",0.11
539,"2013","Delhi","7","Power (Utility)",0.0
540,"2014","Delhi","7","Other",0.11
541,"2008","Delhi","7","Power (Utility)",4.76
542,"2012","Delhi","7","Power (Utility)",1.06
543,"2015","Delhi","7","Power (Captive)",0.04
544,"2007","Delhi","7","Power (Utility)",2.29
545,"2016","Delhi","7","Cement",0.03
546,"2013","Delhi","7","Power (Utility)",1.0
547,"2018","Delhi","7","Power (Utility)",0.83
548,"2016","Delhi","7","Power (Utility)",0.01
549,"2019","Delhi","7","Power (Utility)",0.47
550,"2021","Delhi","7","Other",0.01
551,"2009","Delhi","7","Power (Utility)",0.19
552,"2014","Delhi","7","Cement",0.01
553,"2009","Delhi","7","Power (Utility)",2.47
554,"2013","Delhi","7","Cement",0.01
555,"2013","Delhi","7","Textiles and Rayons",0.0
556,"2007","Delhi","7","Power (Utility)",2.68
557,"2012","Delhi","7","Other",0.24
558,"2015","Delhi","7","Pulp and Paper",0.03
559,"2019","Delhi","7","Power (Utility)",0.06
560,"2018","Delhi","7","Power (Utility)",0.04
561,"2007","Delhi","7","Metallurgical Use- Cokeries",0.57
562,"2016","Delhi","7","Power (Utility)",0.04
563,"2015","Delhi","7","Other",0.08
564,"2008","Delhi","7","Other",0.04
565,"2017","Delhi","7","Power (Utility)",0.04
566,"2015","Delhi","7","Power (Utility)",0.82
567,"2016","Delhi","7","Power (Utility)",2.14
568,"2014","Delhi","7","Pulp and Paper",0.08
569,"2016","Delhi","7","Power (Captive)",0.06
570,"2018","Delhi","7","Other",0.0
571,"2014","Goa","30","Power (Captive)",0.01
572,"2013","Goa","30","Sponge Iron",0.02
573,"2014","Goa","30","Sponge Iron",0.04
574,"2013","Goa","30","Power (Captive)",0.01
575,"2012","Goa","30","Sponge Iron",0.02
576,"2015","Goa","30","Sponge Iron",0.04
577,"2015","Goa","30","Power (Captive)",0.01
578,"2012","Goa","30","Other",0.01
579,"2017","Gujarat","24","Cement",0.19
580,"2018","Gujarat","24","Power (Captive)",0.41
581,"2016","Gujarat","24","Pulp and Paper",0.01
582,"2020","Gujarat","24","Fertilisers",0.0
583,"2007","Gujarat","24","Metallurgical Use- Direct Feed",0.11
584,"2011","Gujarat","24","Pulp and Paper",2.52
585,"2017","Gujarat","24","Textiles and Rayons",1.29
586,"2008","Gujarat","24","Cement",0.73
587,"2011","Gujarat","24","Other",0.27
588,"2014","Gujarat","24","Pulp and Paper",0.01
589,"2014","Gujarat","24","Fertilisers",0.6
590,"2006","Gujarat","24","Bricks",0.16
591,"2019","Gujarat","24","Power (Captive)",0.47
592,"2011","Gujarat","24","Power (Utility)",18.51
593,"2010","Gujarat","24","Power (Captive)",1.67
594,"2014","Gujarat","24","Cement",0.32
595,"2009","Gujarat","24","Textiles and Rayons",2.22
596,"2019","Gujarat","24","Other",0.96
597,"2013","Gujarat","24","Chemical",0.06
598,"2018","Gujarat","24","Metallurgical Use- Direct Feed",0.05
599,"2009","Gujarat","24","Cement",0.12
600,"2018","Gujarat","24","Chemical",0.22
601,"2021","Gujarat","24","Pulp and Paper",0.47
602,"2010","Gujarat","24","Bricks",0.41
603,"2021","Gujarat","24","Fertilisers",0.2
604,"2006","Gujarat","24","Cement",0.65
605,"2006","Gujarat","24","Power (Utility)",17.2
606,"2015","Gujarat","24","Power (Utility)",19.62
607,"2008","Gujarat","24","Sponge Iron",0.0
608,"2019","Gujarat","24","Fertilisers",0.0
609,"2009","Gujarat","24","Power (Captive)",0.42
610,"2015","Gujarat","24","Other",0.88
611,"2007","Gujarat","24","Pulp and Paper",0.15
612,"2012","Gujarat","24","Pulp and Paper",0.58
613,"2020","Gujarat","24","Other",1.17
614,"2012","Gujarat","24","Chemical",0.07
615,"2006","Gujarat","24","Power (Utility)",2.72
616,"2012","Gujarat","24","Textiles and Rayons",0.03
617,"2008","Gujarat","24","Other",0.11
618,"2010","Gujarat","24","Chemical",0.07
619,"2017","Gujarat","24","Sponge Iron",0.04
620,"2008","Gujarat","24","Chemical",0.18
621,"2018","Gujarat","24","Other",0.06
622,"2010","Gujarat","24","Other",1.89
623,"2011","Gujarat","24","Bricks",0.53
624,"2011","Gujarat","24","Other",1.97
625,"2008","Gujarat","24","Power (Captive)",0.58
626,"2007","Gujarat","24","Bricks",0.12
627,"2018","Gujarat","24","Pulp and Paper",0.05
628,"2016","Gujarat","24","Chemical",0.04
629,"2009","Gujarat","24","Sponge Iron",0.11
630,"2021","Gujarat","24","Pulp and Paper",0.05
631,"2015","Gujarat","24","Chemical",0.07
632,"2013","Gujarat","24","Pulp and Paper",0.67
633,"2010","Gujarat","24","Steel (Boilers)",0.27
634,"2015","Gujarat","24","Power (Captive)",0.48
635,"2021","Gujarat","24","Chemical",0.36
636,"2015","Gujarat","24","Power (Utility)",6.78
637,"2014","Gujarat","24","Power (Captive)",0.43
638,"2014","Gujarat","24","Textiles and Rayons",0.03
639,"2009","Gujarat","24","Cement",0.16
640,"2010","Gujarat","24","Chemical",0.33
641,"2014","Gujarat","24","Steel (Boilers)",0.0
642,"2015","Gujarat","24","Cement",0.01
643,"2019","Gujarat","24","Power (Captive)",7.29
644,"2017","Gujarat","24","Pulp and Paper",0.48
645,"2020","Gujarat","24","Textiles and Rayons",0.12
646,"2011","Gujarat","24","Power (Captive)",0.39
647,"2009","Gujarat","24","Power (Utility)",18.88
648,"2015","Gujarat","24","Textiles and Rayons",2.84
649,"2018","Gujarat","24","Fertilisers",0.55
650,"2014","Gujarat","24","Pulp and Paper",1.22
651,"2006","Gujarat","24","Chemical",0.25
652,"2016","Gujarat","24","Steel (Boilers)",0.11
653,"2017","Gujarat","24","Textiles and Rayons",0.03
654,"2011","Gujarat","24","Chemical",0.06
655,"2018","Gujarat","24","Bricks",0.37
656,"2014","Gujarat","24","Chemical",0.05
657,"2006","Gujarat","24","Pulp and Paper",0.18
658,"2007","Gujarat","24","Pulp and Paper",0.07
659,"2010","Gujarat","24","Power (Utility)",3.31
660,"2007","Gujarat","24","Power (Captive)",0.29
661,"2016","Gujarat","24","Other",1.01
662,"2009","Gujarat","24","Power (Utility)",4.43
663,"2008","Gujarat","24","Cement",0.02
664,"2013","Gujarat","24","Other",0.28
665,"2008","Gujarat","24","Textiles and Rayons",0.72
666,"2008","Gujarat","24","Pulp and Paper",0.07
667,"2013","Gujarat","24","Fertilisers",0.0
668,"2018","Gujarat","24","Cement",0.6
669,"2013","Gujarat","24","Chemical",0.56
670,"2011","Gujarat","24","Textiles and Rayons",1.03
671,"2008","Gujarat","24","Power (Captive)",0.26
672,"2014","Gujarat","24","Fertilisers",0.0
673,"2006","Gujarat","24","Cement",0.16
674,"2008","Gujarat","24","Metallurgical Use- Direct Feed",0.15
675,"2010","Gujarat","24","Cement",0.09
676,"2008","Gujarat","24","Pulp and Paper",0.18
677,"2010","Gujarat","24","Pulp and Paper",1.72
678,"2009","Gujarat","24","Pulp and Paper",0.36
679,"2017","Gujarat","24","Other",1.05
680,"2014","Gujarat","24","Chemical",0.15
681,"2006","Gujarat","24","Other",3.31
682,"2021","Gujarat","24","Power (Utility)",6.84
683,"2009","Gujarat","24","Other",1.77
684,"2016","Gujarat","24","Power (Captive)",0.46
685,"2015","Gujarat","24","Cement",0.32
686,"2019","Gujarat","24","Bricks",0.62
687,"2014","Gujarat","24","Power (Utility)",6.26
688,"2011","Gujarat","24","Textiles and Rayons",0.02
689,"2019","Gujarat","24","Fertilisers",0.48
690,"2016","Gujarat","24","Bricks",0.38
691,"2007","Gujarat","24","Other",3.75
692,"2019","Gujarat","24","Cement",0.29
693,"2016","Gujarat","24","Textiles and Rayons",1.72
694,"2007","Gujarat","24","Cement",0.02
695,"2018","Gujarat","24","Other",1.52
696,"2019","Gujarat","24","Pulp and Paper",0.46
697,"2017","Gujarat","24","Chemical",0.03
698,"2013","Gujarat","24","Fertilisers",0.4
699,"2014","Gujarat","24","Other",2.23
700,"2012","Gujarat","24","Chemical",0.83
701,"2020","Gujarat","24","Fertilisers",0.3
702,"2021","Gujarat","24","Power (Utility)",10.08
703,"2014","Gujarat","24","Power (Utility)",14.53
704,"2012","Gujarat","24","Fertilisers",0.4
705,"2017","Gujarat","24","Power (Captive)",0.07
706,"2014","Gujarat","24","Other",0.29
707,"2007","Gujarat","24","Power (Utility)",3.2
708,"2013","Gujarat","24","Cement",0.25
709,"2011","Gujarat","24","Power (Utility)",5.82
710,"2016","Gujarat","24","Chemical",0.23
711,"2008","Gujarat","24","Fertilisers",0.34
712,"2012","Gujarat","24","Other",0.29
713,"2008","Gujarat","24","Other",4.45
714,"2009","Gujarat","24","Textiles and Rayons",0.02
715,"2015","Gujarat","24","Pulp and Paper",0.56
716,"2015","Gujarat","24","Fertilisers",0.01
717,"2006","Gujarat","24","Pulp and Paper",0.06
718,"2012","Gujarat","24","Power (Utility)",6.17
719,"2015","Gujarat","24","Pulp and Paper",0.0
720,"2006","Gujarat","24","Fertilisers",0.27
721,"2007","Gujarat","24","Power (Captive)",0.06
722,"2021","Gujarat","24","Other",2.37
723,"2012","Gujarat","24","Cement",0.1
724,"2008","Gujarat","24","Power (Utility)",18.18
725,"2014","Gujarat","24","Textiles and Rayons",0.66
726,"2006","Gujarat","24","Textiles and Rayons",0.92
727,"2013","Gujarat","24","Power (Utility)",19.73
728,"2016","Gujarat","24","Textiles and Rayons",0.03
729,"2010","Gujarat","24","Pulp and Paper",0.01
730,"2013","Gujarat","24","Other",1.72
731,"2009","Gujarat","24","Pulp and Paper",0.08
732,"2011","Gujarat","24","Chemical",1.11
733,"2020","Gujarat","24","Sponge Iron",0.01
734,"2013","Gujarat","24","Power (Captive)",0.45
735,"2012","Gujarat","24","Cement",0.34
736,"2016","Gujarat","24","Fertilisers",0.77
737,"2017","Gujarat","24","Bricks",0.41
738,"2017","Gujarat","24","Fertilisers",0.0
739,"2018","Gujarat","24","Textiles and Rayons",0.03
740,"2014","Gujarat","24","Cement",0.09
741,"2011","Gujarat","24","Pulp and Paper",0.0
742,"2015","Gujarat","24","Other",0.2
743,"2010","Gujarat","24","Textiles and Rayons",0.73
744,"2020","Gujarat","24","Bricks",0.45
745,"2020","Gujarat","24","Other",2.79
746,"2013","Gujarat","24","Cement",0.09
747,"2018","Gujarat","24","Power (Utility)",16.09
748,"2010","Gujarat","24","Other",0.22
749,"2016","Gujarat","24","Pulp and Paper",0.38
750,"2019","Gujarat","24","Textiles and Rayons",0.03
751,"2018","Gujarat","24","Fertilisers",0.0
752,"2021","Gujarat","24","Power (Captive)",0.29
753,"2006","Gujarat","24","Steel (Boilers)",0.03
754,"2010","Gujarat","24","Cement",0.13
755,"2009","Gujarat","24","Other",0.14
756,"2017","Gujarat","24","Power (Utility)",12.76
757,"2012","Gujarat","24","Pulp and Paper",0.01
758,"2020","Gujarat","24","Pulp and Paper",0.44
759,"2011","Gujarat","24","Fertilisers",0.38
760,"2019","Gujarat","24","Chemical",0.32
761,"2021","Gujarat","24","Bricks",0.42
762,"2007","Gujarat","24","Cement",0.63
763,"2007","Gujarat","24","Textiles and Rayons",0.62
764,"2018","Gujarat","24","Pulp and Paper",0.7
765,"2020","Gujarat","24","Pulp and Paper",0.07
766,"2015","Gujarat","24","Fertilisers",0.79
767,"2007","Gujarat","24","Power (Utility)",17.06
768,"2007","Gujarat","24","Chemical",0.94
769,"2012","Gujarat","24","Power (Captive)",0.45
770,"2017","Gujarat","24","Chemical",0.19
771,"2016","Gujarat","24","Fertilisers",0.0
772,"2013","Gujarat","24","Pulp and Paper",0.0
773,"2012","Gujarat","24","Power (Utility)",18.11
774,"2020","Gujarat","24","Power (Utility)",15.8
775,"2019","Gujarat","24","Power (Utility)",20.2
776,"2016","Gujarat","24","Other",0.16
777,"2012","Gujarat","24","Textiles and Rayons",3.54
778,"2018","Gujarat","24","Sponge Iron",0.09
779,"2008","Gujarat","24","Textiles and Rayons",0.02
780,"2020","Gujarat","24","Cement",0.14
781,"2013","Gujarat","24","Textiles and Rayons",0.02
782,"2013","Gujarat","24","Bricks",0.86
783,"2018","Gujarat","24","Power (Captive)",7.81
784,"2021","Gujarat","24","Textiles and Rayons",0.25
785,"2021","Gujarat","24","Cement",0.1
786,"2019","Gujarat","24","Textiles and Rayons",2.56
787,"2019","Gujarat","24","Sponge Iron",0.05
788,"2012","Gujarat","24","Other",2.07
789,"2018","Gujarat","24","Cement",0.0
790,"2016","Gujarat","24","Cement",0.1
791,"2006","Gujarat","24","Textiles and Rayons",0.0
792,"2020","Gujarat","24","Power (Captive)",0.37
793,"2014","Gujarat","24","Bricks",0.99
794,"2016","Gujarat","24","Power (Utility)",16.17
795,"2009","Gujarat","24","Power (Captive)",0.32
796,"2011","Gujarat","24","Cement",0.17
797,"2015","Gujarat","24","Textiles and Rayons",0.03
798,"2016","Gujarat","24","Power (Utility)",6.29
799,"2017","Gujarat","24","Fertilisers",0.5
800,"2006","Gujarat","24","Chemical",0.97
801,"2020","Gujarat","24","Power (Captive)",6.09
802,"2007","Gujarat","24","Sponge Iron",0.0
803,"2017","Gujarat","24","Pulp and Paper",0.0
804,"2009","Gujarat","24","Chemical",0.61
805,"2007","Gujarat","24","Fertilisers",0.32
806,"2019","Gujarat","24","Other",0.26
807,"2008","Gujarat","24","Power (Utility)",4.08
808,"2010","Gujarat","24","Power (Captive)",0.39
809,"2013","Gujarat","24","Textiles and Rayons",3.4
810,"2011","Gujarat","24","Cement",0.11
811,"2009","Gujarat","24","Chemical",0.1
812,"2008","Gujarat","24","Other Basic-Metal (Aluminium Etc)",0.01
813,"2009","Gujarat","24","Fertilisers",0.31
814,"2017","Gujarat","24","Other",1.02
815,"2007","Gujarat","24","Other Basic-Metal (Aluminium Etc)",0.01
816,"2007","Gujarat","24","Other",0.11
817,"2015","Gujarat","24","Chemical",0.33
818,"2018","Gujarat","24","Textiles and Rayons",2.45
819,"2010","Gujarat","24","Fertilisers",0.36
820,"2012","Gujarat","24","Bricks",0.92
821,"2008","Gujarat","24","Chemical",0.88
822,"2021","Gujarat","24","Other",0.13
823,"2017","Gujarat","24","Power (Captive)",6.89
824,"2013","Gujarat","24","Power (Utility)",7.21
825,"2015","Gujarat","24","Bricks",0.66
826,"2020","Gujarat","24","Chemical",0.3
827,"2010","Gujarat","24","Power (Utility)",18.18
828,"2007","Gujarat","24","Chemical",0.15
829,"2019","Gujarat","24","Pulp and Paper",0.04
830,"2010","Gujarat","24","Textiles and Rayons",0.03
831,"2011","Haryana","6","Power (Utility)",12.27
832,"2012","Haryana","6","Power (Captive)",0.04
833,"2011","Haryana","6","Power (Captive)",0.06
834,"2015","Haryana","6","Power (Utility)",0.2
835,"2009","Haryana","6","Power (Utility)",1.46
836,"2021","Haryana","6","Other",0.01
837,"2016","Haryana","6","Power (Utility)",13.31
838,"2018","Haryana","6","Other",0.01
839,"2010","Haryana","6","Other",0.07
840,"2006","Haryana","6","Other",0.07
841,"2014","Haryana","6","Power (Utility)",13.29
842,"2007","Haryana","6","Power (Captive)",0.09
843,"2007","Haryana","6","Fertilisers",0.57
844,"2011","Haryana","6","Other",0.08
845,"2016","Haryana","6","Power (Utility)",0.17
846,"2007","Haryana","6","Power (Utility)",1.31
847,"2013","Haryana","6","Pulp and Paper",0.05
848,"2018","Haryana","6","Fertilisers",0.34
849,"2007","Haryana","6","Other",0.1
850,"2008","Haryana","6","Pulp and Paper",0.07
851,"2010","Haryana","6","Chemical",0.0
852,"2009","Haryana","6","Fertilisers",0.56
853,"2008","Haryana","6","Fertilisers",0.56
854,"2012","Haryana","6","Power (Utility)",0.56
855,"2010","Haryana","6","Power (Captive)",0.08
856,"2008","Haryana","6","Power (Utility)",1.41
857,"2006","Haryana","6","Power (Captive)",0.09
858,"2007","Haryana","6","Pulp and Paper",0.06
859,"2013","Haryana","6","Power (Utility)",0.08
860,"2012","Haryana","6","Power (Utility)",16.27
861,"2019","Haryana","6","Power (Utility)",0.01
862,"2009","Haryana","6","Power (Utility)",8.04
863,"2017","Haryana","6","Fertilisers",0.41
864,"2006","Haryana","6","Chemical",0.0
865,"2007","Haryana","6","Power (Utility)",0.0
866,"2011","Haryana","6","Other Basic-Metal (Aluminium Etc)",0.04
867,"2021","Haryana","6","Fertilisers",0.41
868,"2013","Haryana","6","Power (Captive)",0.0
869,"2011","Haryana","6","Power (Utility)",0.49
870,"2011","Haryana","6","Fertilisers",0.62
871,"2010","Haryana","6","Pulp and Paper",0.06
872,"2015","Haryana","6","Power (Utility)",0.04
873,"2015","Haryana","6","Fertilisers",0.36
874,"2016","Haryana","6","Power (Utility)",0.22
875,"2017","Haryana","6","Power (Utility)",0.53
876,"2021","Haryana","6","Power (Utility)",7.9
877,"2014","Haryana","6","Fertilisers",0.44
878,"2011","Haryana","6","Chemical",0.0
879,"2017","Haryana","6","Power (Utility)",11.28
880,"2012","Haryana","6","Other",0.05
881,"2008","Haryana","6","Power (Utility)",7.22
882,"2020","Haryana","6","Other",0.0
883,"2013","Haryana","6","Power (Utility)",0.1
884,"2013","Haryana","6","Power (Utility)",15.63
885,"2019","Haryana","6","Fertilisers",0.36
886,"2008","Haryana","6","Power (Captive)",0.08
887,"2014","Haryana","6","Power (Utility)",0.08
888,"2016","Haryana","6","Other",0.04
889,"2019","Haryana","6","Other",0.08
890,"2018","Haryana","6","Power (Utility)",14.51
891,"2010","Haryana","6","Power (Utility)",10.25
892,"2020","Haryana","6","Power (Utility)",0.43
893,"2020","Haryana","6","Fertilisers",0.37
894,"2009","Haryana","6","Pulp and Paper",0.08
895,"2009","Haryana","6","Other",0.08
896,"2019","Haryana","6","Power (Utility)",17.15
897,"2018","Haryana","6","Power (Utility)",0.41
898,"2020","Haryana","6","Power (Utility)",0.01
899,"2010","Haryana","6","Power (Utility)",1.31
900,"2006","Haryana","6","Fertilisers",0.61
901,"2013","Haryana","6","Fertilisers",0.51
902,"2013","Haryana","6","Other",0.06
903,"2007","Haryana","6","Chemical",0.0
904,"2008","Haryana","6","Chemical",0.0
905,"2009","Haryana","6","Power (Captive)",0.08
906,"2020","Haryana","6","Power (Utility)",11.38
907,"2015","Haryana","6","Power (Utility)",13.94
908,"2007","Haryana","6","Power (Utility)",6.16
909,"2017","Haryana","6","Other",0.25
910,"2019","Haryana","6","Power (Utility)",0.52
911,"2011","Haryana","6","Pulp and Paper",0.06
912,"2014","Haryana","6","Other",0.07
913,"2006","Haryana","6","Power (Utility)",7.87
914,"2016","Haryana","6","Fertilisers",0.66
915,"2014","Haryana","6","Cement",0.02
916,"2012","Haryana","6","Fertilisers",0.66
917,"2009","Haryana","6","Chemical",0.0
918,"2006","Haryana","6","Bricks",0.03
919,"2015","Haryana","6","Other",0.04
920,"2006","Haryana","6","Pulp and Paper",0.07
921,"2010","Haryana","6","Power (Utility)",0.01
922,"2008","Haryana","6","Textiles and Rayons",0.09
923,"2012","Himachal Pradesh","2","Power (Utility)",0.07
924,"2012","Himachal Pradesh","2","Power (Captive)",0.09
925,"2020","Himachal Pradesh","2","Cement",0.03
926,"2011","Himachal Pradesh","2","Other",0.03
927,"2011","Himachal Pradesh","2","Cement",0.54
928,"2013","Himachal Pradesh","2","Power (Captive)",0.07
929,"2015","Himachal Pradesh","2","Cement",0.21
930,"2011","Himachal Pradesh","2","Power (Captive)",0.07
931,"2006","Himachal Pradesh","2","Cement",0.76
932,"2013","Himachal Pradesh","2","Other",0.0
933,"2014","Himachal Pradesh","2","Cement",0.28
934,"2009","Himachal Pradesh","2","Cement",0.56
935,"2018","Himachal Pradesh","2","Cement",0.03
936,"2019","Himachal Pradesh","2","Cement",0.02
937,"2013","Himachal Pradesh","2","Cement",0.43
938,"2008","Himachal Pradesh","2","Cement",0.8
939,"2007","Himachal Pradesh","2","Other",0.0
940,"2010","Himachal Pradesh","2","Cement",0.57
941,"2006","Himachal Pradesh","2","Other",0.0
942,"2009","Himachal Pradesh","2","Power (Captive)",0.11
943,"2020","Himachal Pradesh","2","Other",0.0
944,"2012","Himachal Pradesh","2","Other",0.0
945,"2012","Himachal Pradesh","2","Cement",0.5
946,"2007","Himachal Pradesh","2","Cement",0.75
947,"2010","Himachal Pradesh","2","Power (Captive)",0.08
948,"2009","Himachal Pradesh","2","Other",0.02
949,"2016","Himachal Pradesh","2","Cement",0.07
950,"2008","Himachal Pradesh","2","Other",0.01
951,"2012","Himachal Pradesh","2","Pulp and Paper",0.01
952,"2020","Jammu And Kashmir","1","Other",0.01
953,"2015","Jammu And Kashmir","1","Cement",0.02
954,"2019","Jammu And Kashmir","1","Cement",0.01
955,"2013","Jammu And Kashmir","1","Cement",0.03
956,"2018","Jammu And Kashmir","1","Other",0.04
957,"2009","Jammu And Kashmir","1","Other",0.07
958,"2014","Jammu And Kashmir","1","Bricks",0.01
959,"2017","Jammu And Kashmir","1","Bricks",0.01
960,"2014","Jammu And Kashmir","1","Cement",0.01
961,"2010","Jammu And Kashmir","1","Cement",0.06
962,"2007","Jammu And Kashmir","1","Other",0.03
963,"2010","Jammu And Kashmir","1","Other",0.1
964,"2016","Jammu And Kashmir","1","Bricks",0.01
965,"2021","Jammu And Kashmir","1","Other",0.01
966,"2008","Jammu And Kashmir","1","Cement",0.05
967,"2013","Jammu And Kashmir","1","Bricks",0.01
968,"2015","Jammu And Kashmir","1","Other",0.01
969,"2017","Jammu And Kashmir","1","Cement",0.01
970,"2018","Jammu And Kashmir","1","Cement",0.03
971,"2006","Jammu And Kashmir","1","Bricks",0.01
972,"2008","Jammu And Kashmir","1","Other",0.08
973,"2013","Jammu And Kashmir","1","Other",0.06
974,"2011","Jammu And Kashmir","1","Other",0.11
975,"2015","Jammu And Kashmir","1","Textiles and Rayons",0.0
976,"2012","Jammu And Kashmir","1","Bricks",0.02
977,"2016","Jammu And Kashmir","1","Textiles and Rayons",0.0
978,"2020","Jammu And Kashmir","1","Cement",0.01
979,"2009","Jammu And Kashmir","1","Cement",0.06
980,"2012","Jammu And Kashmir","1","Other",0.04
981,"2007","Jammu And Kashmir","1","Cement",0.07
982,"2011","Jammu And Kashmir","1","Cement",0.05
983,"2015","Jammu And Kashmir","1","Bricks",0.01
984,"2007","Jammu And Kashmir","1","Chemical",0.01
985,"2007","Jammu And Kashmir","1","Bricks",0.0
986,"2016","Jammu And Kashmir","1","Cement",0.03
987,"2006","Jammu And Kashmir","1","Cement",0.06
988,"2014","Jammu And Kashmir","1","Textiles and Rayons",0.0
989,"2013","Jammu And Kashmir","1","Power (Captive)",0.01
990,"2006","Jammu And Kashmir","1","Textiles and Rayons",0.0
991,"2010","Jammu And Kashmir","1","Bricks",0.01
992,"2014","Jammu And Kashmir","1","Pulp and Paper",0.01
993,"2019","Jammu And Kashmir","1","Other",0.02
994,"2017","Jammu And Kashmir","1","Other",0.0
995,"2006","Jammu And Kashmir","1","Other",0.03
996,"2014","Jammu And Kashmir","1","Other",0.01
997,"2013","Jammu And Kashmir","1","Textiles and Rayons",0.0
998,"2015","Jammu And Kashmir","1","Pulp and Paper",0.01
999,"2012","Jammu And Kashmir","1","Cement",0.03
1000,"2012","Jammu And Kashmir","1","Textiles and Rayons",0.0
1001,"2020","Jharkhand","20","Cokeries",0.51
1002,"2017","Jharkhand","20","Power (Utility)",15.25
1003,"2010","Jharkhand","20","Steel (Boilers)",0.74
1004,"2007","Jharkhand","20","Power (Utility)",5.34
1005,"2015","Jharkhand","20","Power (Captive)",1.62
1006,"2011","Jharkhand","20","Other",0.12
1007,"2010","Jharkhand","20","Colliery Own - Consumption",0.16
1008,"2013","Jharkhand","20","Sponge Iron",1.47
1009,"2019","Jharkhand","20","Power (Utility)",0.87
1010,"2021","Jharkhand","20","Colliery Own - Consumption",0.01
1011,"2011","Jharkhand","20","Power (Utility)",2.06
1012,"2020","Jharkhand","20","Cement",0.08
1013,"2019","Jharkhand","20","Other",0.24
1014,"2012","Jharkhand","20","Power (Captive)",1.13
1015,"2013","Jharkhand","20","Bricks",0.01
1016,"2020","Jharkhand","20","Cokeries",1.53
1017,"2011","Jharkhand","20","Power (Utility)",14.46
1018,"2013","Jharkhand","20","Power (Utility)",2.49
1019,"2021","Jharkhand","20","Cokeries",1.11
1020,"2019","Jharkhand","20","Metallurgical Use- Cokeries",1.66
1021,"2006","Jharkhand","20","Cement",0.23
1022,"2021","Jharkhand","20","Power (Utility)",1.61
1023,"2012","Jharkhand","20","Power (Captive)",1.27
1024,"2007","Jharkhand","20","Power (Utility)",0.63
1025,"2010","Jharkhand","20","Sponge Iron",1.54
1026,"2018","Jharkhand","20","Other",11.14
1027,"2018","Jharkhand","20","Metallurgical Use- Cokeries",1.6
1028,"2021","Jharkhand","20","Steel (Boilers)",0.1
1029,"2019","Jharkhand","20","Bricks",0.08
1030,"2007","Jharkhand","20","Steel (Boilers)",0.75
1031,"2007","Jharkhand","20","Bricks",0.37
1032,"2016","Jharkhand","20","Sponge Iron",0.5
1033,"2016","Jharkhand","20","Power (Utility)",32.37
1034,"2008","Jharkhand","20","Other",3.98
1035,"2014","Jharkhand","20","Power (Captive)",1.32
1036,"2014","Jharkhand","20","Power (Captive)",0.43
1037,"2014","Jharkhand","20","Colliery Own - Consumption",0.07
1038,"2018","Jharkhand","20","Power (Utility)",0.75
1039,"2012","Jharkhand","20","Cement",0.11
1040,"2010","Jharkhand","20","Power (Captive)",0.07
1041,"2014","Jharkhand","20","Bricks",0.0
